,Rank,Player,Position,FF,FA,AF    ,B,OP,ToG%,Season,Round
269,264,Jacob Weitering,KEYD,0,1,55,2,11,90,2021,Round 1
270,264,Lachie Young,MID,2,0,55,0,4,88,2021,Round 1
271,272,Jordan Clark,MID,0,1,54,0,3,85,2021,Round 1
272,272,Ryan Gardner,KEYD,0,0,54,0,9,100,2021,Round 1
273,272,Ned McHenry,FWD,1,2,54,0,0,87,2021,Round 1
274,272,Marc Murphy,FWD,0,0,54,0,0,76,2021,Round 1
275,272,Lachlan Murphy,FWD,3,0,54,0,0,87,2021,Round 1
276,272,Matt de Boer,FWD,2,0,54,0,5,79,2021,Round 1
277,278,Miles Bergman,MID,0,0,53,0,1,83,2021,Round 1
278,278,Travis Colyer,FWD,0,0,53,0,2,84,2021,Round 1
279,278,Xavier Duursma,MID,1,3,53,0,2,83,2021,Round 1
280,278,Hugh Greenwood,MID,0,0,53,0,1,77,2021,Round 1
281,282,Riley Bonner,DEF,0,1,52,0,1,47,2021,Round 1
282,282,Bobby Hill,FWD,0,2,52,1,0,66,2021,Round 1
283,282,Luke Jackson,RUC,3,1,52,0,1,74,2021,Round 1
284,282,Zac Langdon,FWD,2,1,52,0,0,76,2021,Round 1
285,282,Tim O'Brien,KEYF,0,3,52,0,2,89,2021,Round 1
286,282,Lochie O'Brien,MID,2,0,52,1,1,74,2021,Round 1
287,282,Kysaiah Pickett,FWD,1,3,52,3,0,74,2021,Round 1
288,282,Mason Redman,DEF,0,0,52,0,1,80,2021,Round 1
289,282,Anthony Scott,FWD,3,0,52,0,1,82,2021,Round 1
290,282,Josh Thomas,FWD,3,0,52,0,0,77,2021,Round 1
291,292,Tom Atkins,DEF,0,5,51,0,1,87,2021,Round 1
292,292,Josh Battle,FWD,2,1,51,0,1,81,2021,Round 1
293,292,Connor Blakely,MID,1,1,51,0,1,65,2021,Round 1
294,292,Reilly O'Brien,RUC,3,1,51,0,0,90,2021,Round 1
295,292,Marlion Pickett,MID,0,3,51,0,5,79,2021,Round 1
296,297,Sam Berry,FWD,2,2,50,0,0,80,2021,Round 1
297,297,Will Brodie,FWD,1,1,50,0,0,64,2021,Round 1
298,297,Zach Guthrie,DEF,0,0,50,1,1,74,2021,Round 1
299,300,Noah Balta,KEYD,0,1,49,0,6,84,2021,Round 1
300,300,Grant Birchall,DEF,0,0,49,0,4,80,2021,Round 1
301,300,Lachie Henderson,KEYD,0,2,49,0,4,92,2021,Round 1
302,300,Tom McCartin,KEYD,2,0,49,0,4,87,2021,Round 1
303,304,Jake Aarts,FWD,0,3,48,1,1,78,2021,Round 1
304,304,Luke Dahlhaus,FWD,2,0,48,0,0,66,2021,Round 1
305,304,Jimmy Webster,DEF,0,1,48,0,6,81,2021,Round 1
306,307,Harris Andrews,KEYD,1,0,47,0,11,96,2021,Round 1
307,307,Tom Green,MID,0,1,47,0,0,68,2021,Round 1
308,307,Kamdyn McIntosh,MID,3,1,47,4,4,88,2021,Round 1
309,307,Ben McKay,KEYD,2,2,47,0,9,99,2021,Round 1
310,307,Mark O'Connor,MID,0,1,47,1,1,86,2021,Round 1
311,312,Braeden Campbell,DEF,2,0,46,0,1,75,2021,Round 1
312,312,Aidan Corr,KEYD,0,0,46,0,5,67,2021,Round 1
313,312,Lachie Plowman,DEF,1,0,46,0,6,84,2021,Round 1
