,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
122,108,Jack Graham,MID,0,0,56,0,0,58,2018,Finals Week 1
123,108,Toby Greene,FWD,0,0,125,0,3,76,2018,Finals Week 1
124,108,Levi Greenwood,DEF,0,1,42,2,4,65,2018,Finals Week 1
125,108,Shaun Grigg,MID,0,2,96,0,0,84,2018,Finals Week 1
126,108,Dylan Grimes,DEF,0,0,47,0,12,86,2018,Finals Week 1
127,108,Mitch Hannan,FWD,0,0,60,3,0,71,2018,Finals Week 1
128,108,Blake Hardwick,DEF,0,1,60,0,7,79,2018,Finals Week 1
129,108,James Harmes,MID,0,2,118,1,1,83,2018,Finals Week 1
130,108,Lachie Henderson,KEYD,0,0,35,0,6,87,2018,Finals Week 1
131,108,Jack Henry,DEF,0,0,50,0,2,77,2018,Finals Week 1
132,108,Jeremy Howe,DEF,0,0,68,0,15,98,2018,Finals Week 1
133,108,Shannon Hurn,DEF,0,0,76,0,2,90,2018,Finals Week 1
134,108,Mark Hutchings,MID,0,4,35,0,0,87,2018,Finals Week 1
135,108,Kieren Jack,FWD,0,0,71,0,0,65,2018,Finals Week 1
136,108,Zak Jones,DEF,0,1,52,0,2,86,2018,Finals Week 1
137,108,Nathan Jones,MID,0,2,58,1,0,82,2018,Finals Week 1
138,108,Josh Kelly,MID,0,0,25,0,0,20,2018,Finals Week 1
139,108,Josh P. Kennedy,MID,0,1,81,0,0,79,2018,Finals Week 1
140,108,Josh J. Kennedy,KEYF,0,1,76,0,2,86,2018,Finals Week 1
141,108,Jake Kolodjashnij,KEYD,0,0,62,0,3,77,2018,Finals Week 1
142,108,Zac Langdon,FWD,0,0,41,0,2,70,2018,Finals Week 1
143,108,Mark LeCras,FWD,0,0,54,0,0,90,2018,Finals Week 1
144,108,Jake Lloyd,DEF,0,0,76,0,1,88,2018,Finals Week 1
145,108,Chris Mayne,MID,0,1,72,0,0,85,2018,Finals Week 1
146,108,Oscar McDonald,KEYD,0,1,57,0,2,96,2018,Finals Week 1
147,108,Tom McDonald,KEYF,0,1,82,0,4,93,2018,Finals Week 1
148,108,Sam Menegola,FWD,0,0,73,0,3,83,2018,Finals Week 1
149,108,Tom Mitchell,MID,0,1,119,0,0,91,2018,Finals Week 1
150,108,Harry Morrison,FWD,0,1,58,0,2,83,2018,Finals Week 1
151,108,Jordan Murdoch,FWD,0,1,48,0,0,66,2018,Finals Week 1
152,108,Conor Nash,KEYF,0,1,23,0,0,69,2018,Finals Week 1
153,108,Alex Neal-Bullen,FWD,0,0,109,0,1,78,2018,Finals Week 1
154,108,Nic Newman,DEF,0,1,55,0,3,76,2018,Finals Week 1
155,108,Mark O'Connor,DEF,0,0,48,1,3,80,2018,Finals Week 1
156,108,Tom Papley,FWD,0,0,79,0,1,87,2018,Finals Week 1
157,108,Luke Parker,MID,0,3,108,0,1,97,2018,Finals Week 1
158,108,Scott Pendlebury,MID,0,0,72,0,4,81,2018,Finals Week 1
159,108,Jack Redden,MID,0,0,141,0,1,88,2018,Finals Week 1
160,108,Daniel Robinson,FWD,0,0,70,1,1,70,2018,Finals Week 1
161,108,Ben Ronke,FWD,0,3,32,0,0,69,2018,Finals Week 1
162,108,Liam Ryan,FWD,0,1,57,0,0,76,2018,Finals Week 1
163,108,Brad Sheppard,DEF,0,1,3,0,0,16,2018,Finals Week 1
164,108,Jayden Short,DEF,0,0,87,0,1,79,2018,Finals Week 1
165,108,Luke Shuey,MID,0,4,74,1,7,88,2018,Finals Week 1
166,108,Isaac Smith,MID,0,1,95,0,4,86,2018,Finals Week 1
167,108,Charlie Spargo,FWD,0,0,40,0,0,80,2018,Finals Week 1
168,108,Tom Stewart,DEF,0,1,56,0,5,77,2018,Finals Week 1
169,108,Tim Taranto,MID,0,0,72,0,1,96,2018,Finals Week 1
170,108,Adam Tomlinson,MID,0,1,84,1,2,94,2018,Finals Week 1
171,108,Adam Treloar,MID,0,1,61,0,0,66,2018,Finals Week 1
172,108,Zach Tuohy,DEF,0,0,79,0,1,86,2018,Finals Week 1
173,108,Dom Tyson,MID,0,1,54,0,1,70,2018,Finals Week 1
174,108,Nick Vlastuin,DEF,0,4,39,0,9,88,2018,Finals Week 1
175,108,Matt de Boer,FWD,0,1,57,0,0,85,2018,Finals Week 1
