,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
94,93,Brodie Grundy,RUC,85,8.9,0,11,3,3,3,8,3,39,2021,Round 1
95,93,Tom Lynch,FWD,85,16.4,1,17,8,2,0,12,5,0,2021,Round 1
96,93,Darcy Moore,KEYD,85,23.1,0,18,12,1,0,14,4,0,2021,Round 1
97,93,Harry Morrison,MID,85,16.1,2,20,5,2,2,13,7,0,2021,Round 1
98,93,Jack Riewoldt,KEYF,85,14.7,4,10,4,5,0,9,1,0,2021,Round 1
99,93,Caleb Serong,MID,85,14.3,0,26,2,3,3,13,13,0,2021,Round 1
100,93,Rory Sloane,MID,85,15.7,0,20,5,4,7,11,9,0,2021,Round 1
101,102,Shane Edwards,MID,84,15.9,0,27,2,3,3,11,16,0,2021,Round 1
102,102,Brandon Ellis,MID,84,5.4,0,19,9,2,0,14,5,0,2021,Round 1
103,102,James Jordon,MID,84,7.2,1,15,5,6,1,10,5,0,2021,Round 1
104,102,James Rowe,FWD,84,16.4,2,16,5,3,2,11,5,0,2021,Round 1
105,106,Patrick Cripps,MID,83,13.1,0,28,2,3,5,8,20,0,2021,Round 1
106,106,Billy Frampton,KEYF,83,11.4,2,14,8,0,0,10,4,7,2021,Round 1
107,106,Dyson Heppell,DEF,83,18.8,0,25,6,0,1,13,12,0,2021,Round 1
108,106,George Hewett,DEF,83,5.6,0,20,6,2,0,15,5,0,2021,Round 1
109,106,Luke Ryan,KEYD,83,2.4,0,21,4,5,0,15,6,0,2021,Round 1
110,106,Callan Ward,MID,83,16.7,1,25,3,2,4,12,13,1,2021,Round 1
111,106,Jarrod Witts,RUC,83,5.2,0,12,3,4,3,6,6,31,2021,Round 1
112,113,Zak Butters,FWD,82,17.7,2,16,6,4,1,11,5,0,2021,Round 1
113,113,Luke Davies-Uniacke,MID,82,11.3,1,20,4,5,2,11,9,0,2021,Round 1
114,113,Tim English,RUC,82,9.7,1,14,8,2,1,10,4,4,2021,Round 1
115,113,Cameron Guthrie,MID,82,14.2,1,23,3,5,6,11,12,0,2021,Round 1
116,113,Dan Houston,DEF,82,9.8,0,26,3,1,0,18,8,0,2021,Round 1
117,113,Patrick Lipinski,MID,82,13.3,0,26,4,2,2,9,17,0,2021,Round 1
118,119,Jonathon Ceglar,RUC,81,12.5,1,16,5,2,3,10,6,14,2021,Round 1
119,119,Orazio Fantasia,FWD,81,12.5,4,14,3,2,0,11,3,0,2021,Round 1
120,119,Darcy Parish,MID,81,14.1,1,18,4,4,3,9,9,0,2021,Round 1
121,119,Jack Redden,MID,81,6.7,0,22,7,2,3,11,11,0,2021,Round 1
122,119,Sebastian Ross,MID,81,15,2,19,4,2,4,11,8,0,2021,Round 1
123,124,Willem Drew,MID,80,6.8,0,17,1,11,6,6,11,0,2021,Round 1
124,124,Isaac Heeney,FWD,80,16.6,3,13,8,1,0,12,1,0,2021,Round 1
125,124,Josh Rotham,KEYD,80,4.8,0,16,9,2,0,12,4,0,2021,Round 1
126,124,Paul Seedsman,MID,80,10.8,0,21,8,1,1,14,7,0,2021,Round 1
127,124,Jack Steele,MID,80,16.1,0,20,0,9,7,13,7,0,2021,Round 1
128,129,Shaun Atley,DEF,79,12.5,0,20,4,3,1,12,8,0,2021,Round 1
129,129,Jack Bytel,MID,79,10.1,0,13,1,10,6,9,4,0,2021,Round 1
130,129,Jack Madgen,DEF,79,7.5,0,19,7,3,0,8,11,0,2021,Round 1
131,129,Tom Stewart,DEF,79,15.5,0,21,5,1,0,17,4,0,2021,Round 1
132,133,Isaac Cumming,DEF,78,8.1,0,22,3,3,1,13,9,0,2021,Round 1
133,133,Sam Draper,RUC,78,9.2,1,10,2,5,4,5,5,24,2021,Round 1
134,133,Hugh McCluggage,MID,78,4.8,1,18,5,3,2,14,4,0,2021,Round 1
135,133,Jeremy McGovern,KEYD,78,11.1,0,18,7,2,0,15,3,0,2021,Round 1
136,133,Dane Rampe,KEYD,78,5.1,0,22,5,3,1,16,6,0,2021,Round 1
137,138,Shai Bolton,MID,77,13.7,1,25,2,1,9,13,12,0,2021,Round 1
138,138,Mason Cox,KEYF,77,10.4,2,15,6,0,1,11,4,7,2021,Round 1
139,138,Aaron Naughton,KEYF,77,8.8,2,15,7,1,0,10,5,0,2021,Round 1
140,138,Brad Sheppard,DEF,77,2.9,0,18,8,1,1,13,5,0,2021,Round 1
141,142,Kyle Langford,MID,76,14.7,0,19,5,3,3,10,9,0,2021,Round 1
142,142,Jake Lloyd,DEF,76,10.9,0,24,3,3,1,13,11,0,2021,Round 1
143,142,Oscar McInerney,RUC,76,15.7,1,12,3,2,2,7,5,24,2021,Round 1
144,142,Dylan Shiel,MID,76,17.8,2,17,2,4,4,8,9,0,2021,Round 1
145,146,Michael Gibbons,FWD,75,14.9,2,15,7,1,1,8,7,0,2021,Round 1
146,146,Ben King,KEYF,75,6.4,3,12,7,0,0,9,3,0,2021,Round 1
147,148,Karl Amon,MID,74,16.5,1,16,4,3,0,12,4,0,2021,Round 1
148,148,Liam Duggan,DEF,74,6.5,0,22,7,0,2,15,7,0,2021,Round 1
149,148,Jarman Impey,DEF,74,7.5,0,20,5,1,2,15,5,0,2021,Round 1
150,151,Nick Blakey,DEF,73,10.4,1,15,5,2,0,13,2,0,2021,Round 1
151,151,Mark Blicavs,KEYD,73,11.5,1,17,5,2,2,8,9,6,2021,Round 1
152,151,Angus Brayshaw,MID,73,9.8,0,18,4,4,0,9,9,0,2021,Round 1
153,151,Ryan Burton,DEF,73,12.3,0,19,5,3,1,12,7,0,2021,Round 1
154,151,Josh Caddy,MID,73,7.2,1,17,4,2,0,12,5,0,2021,Round 1
155,151,Toby Greene,FWD,73,12.1,1,19,2,1,2,13,6,0,2021,Round 1
156,151,Nick Haynes,DEF,73,10.1,0,19,7,0,1,16,3,0,2021,Round 1
157,151,Joel Selwood,MID,73,17.5,0,18,4,5,3,13,5,0,2021,Round 1
158,151,Will Setterfield,MID,73,8.8,0,17,6,2,2,11,6,0,2021,Round 1
159,160,Luke Breust,FWD,72,9.6,1,18,4,2,0,7,11,0,2021,Round 1
160,160,Nick Coffield,DEF,72,6.3,0,17,4,3,1,13,4,0,2021,Round 1
161,160,Lachie Fogarty,FWD,72,8.7,0,20,4,2,0,12,8,0,2021,Round 1
162,160,Daniel Howe,MID,72,9.6,0,19,7,1,0,11,8,0,2021,Round 1
163,160,Lincoln McCarthy,FWD,72,8.4,2,16,2,3,1,11,5,0,2021,Round 1
164,160,David Mundy,MID,72,8.7,0,19,5,3,3,9,10,0,2021,Round 1
165,166,Jake Kolodjashnij,KEYD,71,8.1,0,13,7,5,0,4,9,0,2021,Round 1
166,166,Anthony McDonald-Tipungwuti,FWD,71,11.1,2,16,4,1,0,9,7,0,2021,Round 1
167,166,Jackson Nelson,DEF,71,11.3,0,19,5,1,0,14,5,0,2021,Round 1
168,166,Wil Powell,DEF,71,11.8,0,18,5,2,1,11,7,0,2021,Round 1
169,166,Sam Switkowski,FWD,71,16.2,1,15,3,5,3,5,10,0,2021,Round 1
170,171,Andrew Gaff,MID,70,5,0,16,8,1,1,12,4,0,2021,Round 1
171,171,Max Gawn,RUC,70,11.5,0,12,4,1,3,6,6,30,2021,Round 1
172,171,Harry Himmelberg,KEYF,70,7.3,3,12,3,2,1,9,3,1,2021,Round 1
173,171,Liam Shiels,MID,70,17.4,0,19,2,6,2,8,11,0,2021,Round 1
174,171,Tarryn Thomas,FWD,70,12.8,2,15,3,3,1,8,7,0,2021,Round 1
175,176,Jack Darling,KEYF,69,9.6,2,14,4,3,1,8,6,0,2021,Round 1
176,176,Brodie Smith,DEF,69,4.7,0,21,6,0,0,14,7,0,2021,Round 1
177,176,Adam Tomlinson,KEYD,69,7.1,0,15,7,2,0,13,2,0,2021,Round 1
178,176,Sam Wicks,FWD,69,14.2,2,12,2,5,0,6,6,0,2021,Round 1
179,180,Taylor Adams,MID,68,7.5,0,20,2,4,8,8,12,0,2021,Round 1
180,180,Jack Higgins,FWD,68,10.5,2,12,3,4,2,8,4,0,2021,Round 1
181,180,Jeremy Howe,DEF,68,9.5,0,13,6,3,0,11,2,0,2021,Round 1
182,180,Stefan Martin,RUC,68,17.3,1,15,1,2,6,6,9,15,2021,Round 1
183,180,Touk Miller,MID,68,10.2,1,20,1,2,4,11,9,0,2021,Round 1
184,180,Lachie Neale,MID,68,19.7,0,24,4,0,7,8,16,0,2021,Round 1
185,180,Tom Powell,FWD,68,4.8,1,19,3,1,0,12,7,0,2021,Round 1
186,180,Hayden Young,DEF,68,5.8,0,19,6,0,0,17,2,0,2021,Round 1
187,188,Shaun Higgins,FWD,67,7,0,22,3,2,4,9,13,0,2021,Round 1
188,188,Changkuoth Jiath,DEF,67,10.1,0,22,4,2,1,7,15,0,2021,Round 1
189,188,Charlie Spargo,FWD,67,10.3,1,16,2,4,0,8,8,0,2021,Round 1
190,188,Matt Taberner,KEYF,67,23.4,3,13,4,0,1,10,3,0,2021,Round 1
