,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
131,114,Jeremy Howe,KEYD,114,11.8,1,23,13,1,0,19,4,0,2019,Finals Week 1
132,114,Shannon Hurn,DEF,71,11.4,0,18,6,1,1,15,3,0,2019,Finals Week 1
133,114,Mark Hutchings,MID,40,3.8,0,10,4,1,1,4,6,0,2019,Finals Week 1
134,114,Lewis Jetta,DEF,68,12.8,0,19,5,1,0,14,5,0,2019,Finals Week 1
135,114,Adam Kennedy,DEF,57,-0.4,0,16,3,1,0,11,5,0,2019,Finals Week 1
136,114,Josh J. Kennedy,KEYF,76,15.9,4,10,6,1,0,7,3,0,2019,Finals Week 1
137,114,Patrick Lipinski,FWD,76,7.9,0,24,6,1,2,7,17,0,2019,Finals Week 1
138,114,Daniel Lloyd,FWD,47,9.9,2,9,3,1,2,6,3,0,2019,Finals Week 1
139,114,Sam Lloyd,FWD,45,1.9,1,10,3,1,0,6,4,0,2019,Finals Week 1
140,114,Tom J. Lynch,KEYF,67,17.7,2,12,6,1,0,7,5,0,2019,Finals Week 1
141,114,Andrew McGrath,MID,100,15.9,1,30,4,1,3,18,12,0,2019,Finals Week 1
142,114,Gryan Miers,FWD,51,6.2,1,13,3,1,0,7,6,0,2019,Finals Week 1
143,114,Quinton Narkle,MID,42,1.9,0,13,2,1,2,7,6,0,2019,Finals Week 1
144,114,Lachie Neale,MID,123,26.8,2,37,5,1,10,17,20,0,2019,Finals Week 1
145,114,Jackson Nelson,DEF,42,2,0,10,5,1,1,9,1,0,2019,Finals Week 1
146,114,Sam J. Reid,DEF,32,5,0,13,0,1,3,5,8,0,2019,Finals Week 1
147,114,Daniel Rich,DEF,56,11.4,0,17,3,1,1,10,7,0,2019,Finals Week 1
148,114,Willie Rioli,FWD,72,14,1,15,7,1,1,10,5,0,2019,Finals Week 1
149,114,Gary Rohan,FWD,24,-1.9,1,3,2,1,0,2,1,0,2019,Finals Week 1
150,114,Liam Ryan,FWD,66,15.8,3,13,4,1,1,9,4,0,2019,Finals Week 1
151,114,Brad Sheppard,DEF,88,4.2,0,19,11,1,0,15,4,0,2019,Finals Week 1
152,114,Will Snelling,FWD,52,7.5,2,12,4,1,0,3,9,0,2019,Finals Week 1
153,114,Jaidyn Stephenson,FWD,88,11.1,1,18,10,1,1,11,7,0,2019,Finals Week 1
154,114,Tom Stewart,DEF,97,15.6,0,23,10,1,1,17,6,0,2019,Finals Week 1
155,114,Matthew Suckling,DEF,84,15.8,1,23,4,1,0,19,4,0,2019,Finals Week 1
156,114,Harry Taylor,KEYD,41,5,0,10,3,1,0,7,3,0,2019,Finals Week 1
157,114,Alex Witherden,DEF,62,5.4,0,17,5,1,0,12,5,0,2019,Finals Week 1
158,159,Nathan Broad,DEF,9,3.9,0,2,1,0,0,2,0,0,2019,Finals Week 1
159,159,Mitch Brown,KEYF,18,-0.3,0,4,3,0,0,4,0,0,2019,Finals Week 1
160,159,Charles Cameron,FWD,34,3.5,1,7,2,0,1,5,2,0,2019,Finals Week 1
161,159,Phil Davis,KEYD,29,5.7,0,8,4,0,0,7,1,0,2019,Finals Week 1
162,159,Mitch Duncan,MID,51,3,0,13,5,0,2,10,3,0,2019,Finals Week 1
163,159,Jeremy Finlayson,KEYF,81,16.8,3,18,3,0,2,13,5,5,2019,Finals Week 1
164,159,Aaron Francis,KEYD,78,12,0,20,9,0,0,14,6,0,2019,Finals Week 1
165,159,Darcy Gardiner,DEF,63,5,0,18,6,0,1,14,4,0,2019,Finals Week 1
166,159,Levi Greenwood,DEF,22,2.5,0,7,2,0,0,5,2,0,2019,Finals Week 1
167,159,Dyson Heppell,MID,106,13,0,31,11,0,2,16,15,0,2019,Finals Week 1
168,159,Cale Hooker,KEYD,10,6,0,4,1,0,0,1,3,0,2019,Finals Week 1
169,159,Kyle Langford,FWD,48,6.4,0,15,4,0,4,9,6,0,2019,Finals Week 1
170,159,Jayden Laverde,FWD,41,4.8,1,9,5,0,0,7,2,0,2019,Finals Week 1
171,159,Chris Masten,MID,79,8,0,21,8,0,0,12,9,0,2019,Finals Week 1
172,159,Ed Richards,FWD,38,11.8,1,12,1,0,1,4,8,0,2019,Finals Week 1
173,159,Zach Tuohy,DEF,54,9.6,1,14,3,0,0,11,3,0,2019,Finals Week 1
174,159,Jake Waterman,KEYF,85,4.1,2,16,10,0,0,10,6,0,2019,Finals Week 1
175,159,Rhylee West,FWD,26,5.1,0,10,2,0,1,3,7,0,2019,Finals Week 1
