,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
37,9,Lachie Fogarty,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
38,9,Darcy Gardiner,KEYD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
39,9,Jack Ginnivan,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
40,9,Tom Green,MID,0,3,3,6,0,0,0,0,2023,Preliminary Finals
41,9,Toby Greene,FWD,0,0,2,2,0,0,0,0,2023,Preliminary Finals
42,9,George Hewett,MID,0,1,2,3,0,0,0,0,2023,Preliminary Finals
43,9,Bobby Hill,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
44,9,Harry Himmelberg,KEYD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
45,9,Eric Hipwood,KEYF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
46,9,Jesse Hogan,KEYF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
47,9,Oliver Hollands,MID,0,0,1,1,0,0,0,0,2023,Preliminary Finals
48,9,Will Hoskin-Elliott,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
49,9,Jeremy Howe,KEYD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
50,9,Connor Idun,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
51,9,Josh Kelly,MID,0,0,2,2,0,0,0,0,2023,Preliminary Finals
52,9,Matthew Kennedy,MID,0,0,2,2,0,0,0,0,2023,Preliminary Finals
53,9,Ryan Lester,KEYD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
54,9,Patrick Lipinski,FWD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
55,9,Daniel Lloyd,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
56,9,Jarryd Lyons,MID,0,1,0,1,0,0,0,0,2023,Preliminary Finals
57,9,Caleb Marchbank,KEYD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
58,9,Oleg Markov,DEF,0,0,1,1,0,0,0,0,2023,Preliminary Finals
59,9,Jack Martin,FWD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
60,9,Brayden Maynard,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
61,9,Lincoln McCarthy,FWD,0,0,2,2,0,0,0,0,2023,Preliminary Finals
62,9,Hugh McCluggage,MID,0,0,0,0,0,0,0,0,2023,Preliminary Finals
63,9,Beau McCreery,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
64,9,Mitch McGovern,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
65,9,Harry McKay,KEYF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
66,9,Conor McKenna,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
67,9,Daniel McStay,KEYF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
68,9,Brody Mihocek,KEYF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
69,9,Tom Mitchell,MID,0,1,3,4,0,0,0,0,2023,Preliminary Finals
70,9,Darcy Moore,KEYD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
71,9,Jesse Motlop,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
72,9,Nathan Murphy,KEYD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
73,9,Lachie Neale,MID,0,3,5,8,0,0,0,0,2023,Preliminary Finals
74,9,Nic Newman,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
75,9,Xavier O'Halloran,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
76,9,Scott Pendlebury,MID,0,1,1,2,0,0,0,0,2023,Preliminary Finals
77,9,Harry Perryman,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
78,9,Isaac Quaynor,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
79,9,Cam Rayner,FWD,0,1,0,1,0,0,0,0,2023,Preliminary Finals
80,9,Jake Riccardi,KEYF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
81,9,Deven Robertson,FWD,0,0,2,2,0,0,0,0,2023,Preliminary Finals
82,9,Adam Saad,DEF,0,0,1,1,0,0,0,0,2023,Preliminary Finals
83,9,Steele Sidebottom,MID,0,1,6,7,0,0,0,0,2023,Preliminary Finals
84,9,Brandon Starcevich,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
85,9,Sam Taylor,KEYD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
86,9,Sam Walsh,MID,0,2,1,3,0,0,0,0,2023,Preliminary Finals
87,9,Callan Ward,MID,0,2,1,3,0,0,0,0,2023,Preliminary Finals
88,9,Jacob Weitering,KEYD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
89,9,Lachie Whitfield,DEF,0,0,1,1,0,0,0,0,2023,Preliminary Finals
90,9,Darcy Wilmot,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
91,9,Dayne Zorko,FWD,0,2,1,3,0,0,0,0,2023,Preliminary Finals
