,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
153,78,Alex Fasolo,FWD,0,0,0,0,0,0,0,0,2016,Round 10
154,78,Michael Firrito,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
155,78,Sam Fisher,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
156,78,Lance Franklin,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
157,78,James Frawley,KEYD,0,0,0,0,0,0,0,1,2016,Round 10
158,78,Jonathan Freeman,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
159,78,Jack Frost,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
160,78,Colin Garland,DEF,0,0,0,0,0,0,0,0,2016,Round 10
161,78,Jeff Garlett,FWD,0,0,1,1,0,0,0,0,2016,Round 10
162,78,Jarryn Geary,DEF,0,0,0,0,0,0,0,0,2016,Round 10
163,78,Josh Gibson,KEYD,0,0,3,3,0,0,0,0,2016,Round 10
164,78,Sam Gibson,MID,0,1,6,7,0,0,0,0,2016,Round 10
165,78,Martin Gleeson,DEF,0,0,1,1,0,0,0,0,2016,Round 10
166,78,Sam Gray,MID,0,1,2,3,0,0,0,0,2016,Round 10
167,78,Robbie Gray,MID,0,4,0,4,0,0,0,0,2016,Round 10
168,78,Toby Greene,FWD,0,0,0,0,0,0,0,0,2016,Round 10
169,78,Levi Greenwood,FWD,0,0,1,1,0,0,0,0,2016,Round 10
170,78,Cory Gregson,FWD,0,0,0,0,0,0,0,0,2016,Round 10
171,78,Jade Gresham,FWD,0,0,0,0,0,0,0,0,2016,Round 10
172,78,Shaun Grigg,MID,0,5,3,8,0,0,0,0,2016,Round 10
173,78,Dylan Grimes,DEF,0,0,0,0,0,0,0,0,2016,Round 10
174,78,Heath Grundy,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
175,78,Jack Gunston,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
176,78,James Gwilt,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
177,78,Dan Hannebery,MID,0,0,6,6,0,0,0,0,2016,Round 10
178,78,Jarrod Harbrow,DEF,0,0,2,2,0,0,0,0,2016,Round 10
