,Team1,Team2,Points1,Points2,Venue,Season,Round,Day,Date,Attendance,Winner1,Home/Away1,Home/Away2
636,Geelong,Fremantle,60.0,104.0,Kardinia Park,2015,Round 2,Sun,12-Apr-2015,23723.0,0,H,A
637,Essendon,Hawthorn,78.0,76.0,M.C.G.,2015,Round 2,Sun,12-Apr-2015,59866.0,1,H,H
638,North Melbourne,Brisbane Lions,133.0,51.0,Docklands,2015,Round 2,Sun,12-Apr-2015,22275.0,1,H,A
639,Collingwood,St Kilda,140.0,66.0,M.C.G.,2015,Round 3,Fri,17-Apr-2015,45197.0,1,H,A
640,Carlton,Essendon,84.0,105.0,M.C.G.,2015,Round 3,Sat,18-Apr-2015,54854.0,0,H,H
641,Adelaide,Melbourne,80.0,55.0,Adelaide Oval,2015,Round 3,Sat,18-Apr-2015,43713.0,1,H,A
642,Sydney,Greater Western Sydney,111.0,90.0,S.C.G.,2015,Round 3,Sat,18-Apr-2015,31966.0,1,H,A
643,North Melbourne,Port Adelaide,105.0,113.0,Docklands,2015,Round 3,Sat,18-Apr-2015,22586.0,0,H,A
644,Brisbane Lions,Richmond,58.0,137.0,Gabba,2015,Round 3,Sat,18-Apr-2015,22441.0,0,H,A
645,Hawthorn,Western Bulldogs,127.0,57.0,York Park,2015,Round 3,Sun,19-Apr-2015,15559.0,1,H,A
646,Geelong,Gold Coast,105.0,96.0,Kardinia Park,2015,Round 3,Sun,19-Apr-2015,20813.0,1,H,A
647,West Coast,Fremantle,81.0,111.0,Subiaco,2015,Round 3,Sun,19-Apr-2015,39138.0,0,H,H
648,Richmond,Melbourne,51.0,83.0,M.C.G.,2015,Round 4,Fri,24-Apr-2015,58175.0,0,H,H
649,St Kilda,Carlton,81.0,121.0,Wellington,2015,Round 4,Sat,25-Apr-2015,12125.0,0,A,A
650,Essendon,Collingwood,49.0,69.0,M.C.G.,2015,Round 4,Sat,25-Apr-2015,88395.0,0,H,H
651,Greater Western Sydney,Gold Coast,119.0,53.0,Manuka Oval,2015,Round 4,Sat,25-Apr-2015,6917.0,1,H,A
652,Port Adelaide,Hawthorn,99.0,91.0,Adelaide Oval,2015,Round 4,Sat,25-Apr-2015,49831.0,1,H,A
653,Fremantle,Sydney,74.0,60.0,Subiaco,2015,Round 4,Sat,25-Apr-2015,39009.0,1,H,A
654,Brisbane Lions,West Coast,65.0,118.0,Gabba,2015,Round 4,Sun,26-Apr-2015,16632.0,0,H,A
655,Geelong,North Melbourne,67.0,83.0,Kardinia Park,2015,Round 4,Sun,26-Apr-2015,23452.0,0,H,A
656,Western Bulldogs,Adelaide,125.0,68.0,Docklands,2015,Round 4,Sun,26-Apr-2015,19915.0,1,H,A
657,Carlton,Collingwood,45.0,120.0,M.C.G.,2015,Round 5,Fri,01-May-2015,71759.0,0,H,H
658,Richmond,Geelong,76.0,85.0,M.C.G.,2015,Round 5,Sat,02-May-2015,45228.0,0,H,A
659,Sydney,Western Bulldogs,73.0,77.0,S.C.G.,2015,Round 5,Sat,02-May-2015,25541.0,0,H,A
660,Gold Coast,Brisbane Lions,118.0,54.0,Carrara,2015,Round 5,Sat,02-May-2015,12464.0,1,H,A
661,North Melbourne,Hawthorn,70.0,130.0,Docklands,2015,Round 5,Sat,02-May-2015,38077.0,0,H,A
662,West Coast,Greater Western Sydney,120.0,33.0,Subiaco,2015,Round 5,Sat,02-May-2015,34554.0,1,H,A
663,Melbourne,Fremantle,50.0,118.0,M.C.G.,2015,Round 5,Sun,03-May-2015,22892.0,0,H,A
664,St Kilda,Essendon,80.0,82.0,Docklands,2015,Round 5,Sun,03-May-2015,29869.0,0,H,H
665,Adelaide,Port Adelaide,91.0,115.0,Adelaide Oval,2015,Round 5,Sun,03-May-2015,49617.0,0,H,H
666,Collingwood,Geelong,59.0,100.0,M.C.G.,2015,Round 6,Fri,08-May-2015,52152.0,0,H,A
667,North Melbourne,Richmond,109.0,74.0,Bellerive Oval,2015,Round 6,Sat,09-May-2015,17544.0,1,H,A
668,Western Bulldogs,St Kilda,87.0,94.0,Docklands,2015,Round 6,Sat,09-May-2015,29619.0,0,H,H
669,Greater Western Sydney,Hawthorn,108.0,98.0,Sydney Showground,2015,Round 6,Sat,09-May-2015,13556.0,1,H,A
670,Gold Coast,Adelaide,78.0,119.0,Carrara,2015,Round 6,Sat,09-May-2015,12464.0,0,H,A
671,Melbourne,Sydney,50.0,88.0,M.C.G.,2015,Round 6,Sat,09-May-2015,26894.0,0,H,A
672,Fremantle,Essendon,80.0,52.0,Subiaco,2015,Round 6,Sat,09-May-2015,37535.0,1,H,A
673,Carlton,Brisbane Lions,75.0,84.0,Docklands,2015,Round 6,Sun,10-May-2015,20273.0,0,H,A
674,Port Adelaide,West Coast,68.0,78.0,Adelaide Oval,2015,Round 6,Sun,10-May-2015,38508.0,0,H,A
675,Essendon,North Melbourne,82.0,93.0,Docklands,2015,Round 7,Fri,15-May-2015,43972.0,0,H,H
676,Adelaide,St Kilda,119.0,73.0,Adelaide Oval,2015,Round 7,Sat,16-May-2015,43532.0,1,H,A
677,Hawthorn,Melbourne,155.0,50.0,M.C.G.,2015,Round 7,Sat,16-May-2015,41935.0,1,H,H
678,Carlton,Greater Western Sydney,57.0,135.0,Docklands,2015,Round 7,Sat,16-May-2015,16676.0,0,H,A
679,Sydney,Geelong,120.0,77.0,Stadium Australia,2015,Round 7,Sat,16-May-2015,28063.0,1,H,A
680,West Coast,Gold Coast,135.0,43.0,Subiaco,2015,Round 7,Sat,16-May-2015,26964.0,1,H,A
681,Western Bulldogs,Fremantle,88.0,101.0,Docklands,2015,Round 7,Sun,17-May-2015,18170.0,0,H,A
682,Richmond,Collingwood,105.0,100.0,M.C.G.,2015,Round 7,Sun,17-May-2015,59034.0,1,H,H
683,Brisbane Lions,Port Adelaide,102.0,65.0,Gabba,2015,Round 7,Sun,17-May-2015,15957.0,1,H,A
684,Geelong,Carlton,140.0,63.0,Docklands,2015,Round 8,Fri,22-May-2015,32032.0,1,A,H
685,St Kilda,West Coast,78.0,131.0,Docklands,2015,Round 8,Sat,23-May-2015,23598.0,0,H,A
686,Greater Western Sydney,Adelaide,108.0,84.0,Sydney Showground,2015,Round 8,Sat,23-May-2015,9481.0,1,H,A
687,Gold Coast,Collingwood,63.0,132.0,Carrara,2015,Round 8,Sat,23-May-2015,16440.0,0,H,A
688,Hawthorn,Sydney,69.0,73.0,M.C.G.,2015,Round 8,Sat,23-May-2015,63319.0,0,H,A
689,Fremantle,North Melbourne,115.0,42.0,Subiaco,2015,Round 8,Sat,23-May-2015,35836.0,1,H,A
690,Essendon,Brisbane Lions,136.0,78.0,Docklands,2015,Round 8,Sun,24-May-2015,36857.0,1,H,A
691,Melbourne,Western Bulldogs,103.0,64.0,M.C.G.,2015,Round 8,Sun,24-May-2015,29381.0,1,H,A
692,Port Adelaide,Richmond,43.0,76.0,Adelaide Oval,2015,Round 8,Sun,24-May-2015,44451.0,0,H,A
693,Sydney,Carlton,122.0,62.0,S.C.G.,2015,Round 9,Fri,29-May-2015,32105.0,1,H,A
694,Hawthorn,Gold Coast,93.0,40.0,York Park,2015,Round 9,Sat,30-May-2015,11320.0,1,H,A
695,Melbourne,Port Adelaide,54.0,115.0,Traeger Park,2015,Round 9,Sat,30-May-2015,4866.0,0,H,A
696,Western Bulldogs,Greater Western Sydney,113.0,68.0,Docklands,2015,Round 9,Sat,30-May-2015,16395.0,1,H,A
697,Richmond,Essendon,72.0,59.0,M.C.G.,2015,Round 9,Sat,30-May-2015,83804.0,1,H,H
698,Adelaide,Fremantle,57.0,68.0,Adelaide Oval,2015,Round 9,Sat,30-May-2015,45518.0,0,H,A
699,Brisbane Lions,St Kilda,86.0,108.0,Gabba,2015,Round 9,Sun,31-May-2015,16898.0,0,H,A
700,Collingwood,North Melbourne,112.0,95.0,M.C.G.,2015,Round 9,Sun,31-May-2015,43452.0,1,H,A
701,West Coast,Geelong,120.0,64.0,Subiaco,2015,Round 9,Sun,31-May-2015,37676.0,1,H,A
702,Fremantle,Richmond,70.0,97.0,Subiaco,2015,Round 10,Fri,05-Jun-2015,38019.0,0,H,A
703,Carlton,Adelaide,90.0,99.0,M.C.G.,2015,Round 10,Sat,06-Jun-2015,32035.0,0,H,A
704,Gold Coast,Sydney,41.0,93.0,Carrara,2015,Round 10,Sat,06-Jun-2015,13068.0,0,H,A
705,Essendon,Geelong,53.0,122.0,Docklands,2015,Round 10,Sat,06-Jun-2015,40632.0,0,H,A
706,Port Adelaide,Western Bulldogs,100.0,62.0,Adelaide Oval,2015,Round 10,Sat,06-Jun-2015,40907.0,1,H,A
707,Greater Western Sydney,Brisbane Lions,97.0,67.0,Sydney Showground,2015,Round 10,Sun,07-Jun-2015,9079.0,1,H,A
708,North Melbourne,West Coast,85.0,75.0,Bellerive Oval,2015,Round 10,Sun,07-Jun-2015,12011.0,1,H,A
709,St Kilda,Hawthorn,69.0,132.0,Docklands,2015,Round 10,Sun,07-Jun-2015,33886.0,0,H,A
710,Melbourne,Collingwood,85.0,110.0,M.C.G.,2015,Round 10,Mon,08-Jun-2015,66120.0,0,H,H
711,Port Adelaide,Geelong,69.0,92.0,Adelaide Oval,2015,Round 11,Fri,12-Jun-2015,46140.0,0,H,A
712,Gold Coast,Fremantle,46.0,53.0,Carrara,2015,Round 11,Sat,13-Jun-2015,8911.0,0,H,A
713,West Coast,Essendon,96.0,46.0,Subiaco,2015,Round 11,Sat,13-Jun-2015,37306.0,1,H,A
714,North Melbourne,Sydney,75.0,91.0,Docklands,2015,Round 11,Sat,13-Jun-2015,32127.0,0,H,A
715,Collingwood,Greater Western Sydney,119.0,77.0,M.C.G.,2015,Round 11,Sun,14-Jun-2015,43390.0,1,H,A
716,St Kilda,Melbourne,85.0,83.0,Docklands,2015,Round 11,Sun,14-Jun-2015,25217.0,1,H,A
717,Adelaide,Hawthorn,85.0,114.0,Adelaide Oval,2015,Round 12,Thu,18-Jun-2015,49108.0,0,H,A
718,Richmond,West Coast,70.0,90.0,M.C.G.,2015,Round 12,Fri,19-Jun-2015,45178.0,0,H,A
719,Carlton,Port Adelaide,110.0,106.0,M.C.G.,2015,Round 12,Sat,20-Jun-2015,27693.0,1,H,A
720,Greater Western Sydney,North Melbourne,61.0,117.0,Sydney Showground,2015,Round 12,Sat,20-Jun-2015,7824.0,0,H,A
721,Western Bulldogs,Brisbane Lions,146.0,74.0,Docklands,2015,Round 12,Sat,20-Jun-2015,21129.0,1,H,A
722,Geelong,Melbourne,89.0,113.0,Kardinia Park,2015,Round 12,Sun,21-Jun-2015,28007.0,0,H,A
723,Fremantle,Collingwood,80.0,73.0,Subiaco,2015,Round 13,Thu,25-Jun-2015,37145.0,1,H,A
724,Sydney,Richmond,77.0,95.0,S.C.G.,2015,Round 13,Fri,26-Jun-2015,37579.0,0,H,A
725,Hawthorn,Essendon,114.0,76.0,M.C.G.,2015,Round 13,Sat,27-Jun-2015,62500.0,1,H,H
726,Brisbane Lions,Adelaide,69.0,82.0,Gabba,2015,Round 13,Sat,27-Jun-2015,18146.0,0,H,A
727,St Kilda,Western Bulldogs,56.0,62.0,Docklands,2015,Round 13,Sat,27-Jun-2015,26511.0,0,H,H
728,Carlton,Gold Coast,103.0,69.0,Docklands,2015,Round 13,Sun,28-Jun-2015,30207.0,1,H,A
729,Sydney,Port Adelaide,94.0,84.0,S.C.G.,2015,Round 14,Thu,02-Jul-2015,28316.0,1,H,A
730,Collingwood,Hawthorn,91.0,101.0,M.C.G.,2015,Round 14,Fri,03-Jul-2015,75880.0,0,H,H
731,Richmond,Greater Western Sydney,78.0,69.0,M.C.G.,2015,Round 14,Sat,04-Jul-2015,35968.0,1,H,A
732,Gold Coast,North Melbourne,125.0,70.0,Carrara,2015,Round 14,Sat,04-Jul-2015,14444.0,1,H,A
733,Western Bulldogs,Carlton,64.0,53.0,Docklands,2015,Round 14,Sat,04-Jul-2015,31445.0,1,H,H
734,Melbourne,West Coast,60.0,114.0,Marrara Oval,2015,Round 14,Sat,04-Jul-2015,11873.0,0,A,A
735,Essendon,St Kilda,52.0,162.0,Docklands,2015,Round 14,Sun,05-Jul-2015,38020.0,0,H,H
736,Fremantle,Brisbane Lions,84.0,48.0,Subiaco,2015,Round 14,Sun,05-Jul-2015,32970.0,1,H,A
737,Port Adelaide,Collingwood,66.0,63.0,Adelaide Oval,2015,Round 15,Thu,09-Jul-2015,44496.0,1,H,A
738,Richmond,Carlton,71.0,41.0,M.C.G.,2015,Round 15,Fri,10-Jul-2015,52564.0,1,H,H
739,Essendon,Melbourne,69.0,60.0,M.C.G.,2015,Round 15,Sat,11-Jul-2015,38861.0,1,H,H
740,Western Bulldogs,Gold Coast,95.0,73.0,Cazaly's Stadium,2015,Round 15,Sat,11-Jul-2015,9449.0,1,A,A
741,North Melbourne,Geelong,120.0,79.0,Docklands,2015,Round 15,Sat,11-Jul-2015,31270.0,1,H,A
742,West Coast,Adelaide,147.0,91.0,Subiaco,2015,Round 15,Sat,11-Jul-2015,38133.0,1,H,A
743,Greater Western Sydney,St Kilda,84.0,49.0,Sydney Showground,2015,Round 15,Sun,12-Jul-2015,9178.0,1,H,A
744,Hawthorn,Fremantle,115.0,43.0,York Park,2015,Round 15,Sun,12-Jul-2015,16792.0,1,H,A
745,Brisbane Lions,Sydney,49.0,70.0,Gabba,2015,Round 15,Sun,12-Jul-2015,16936.0,0,H,A
746,North Melbourne,Essendon,93.0,68.0,Docklands,2015,Round 16,Fri,17-Jul-2015,31025.0,1,H,H
747,Geelong,Western Bulldogs,72.0,64.0,Kardinia Park,2015,Round 16,Sat,18-Jul-2015,25041.0,1,H,A
748,Gold Coast,Greater Western Sydney,79.0,94.0,Carrara,2015,Round 16,Sat,18-Jul-2015,9589.0,0,H,A
749,Collingwood,West Coast,56.0,87.0,Docklands,2015,Round 16,Sat,18-Jul-2015,36527.0,0,A,A
750,Sydney,Hawthorn,57.0,146.0,Stadium Australia,2015,Round 16,Sat,18-Jul-2015,37369.0,0,H,A
751,Fremantle,Carlton,95.0,53.0,Subiaco,2015,Round 16,Sat,18-Jul-2015,33581.0,1,H,A
752,Melbourne,Brisbane Lions,60.0,36.0,M.C.G.,2015,Round 16,Sun,19-Jul-2015,25149.0,1,H,A
753,Port Adelaide,Adelaide,113.0,116.0,Adelaide Oval,2015,Round 16,Sun,19-Jul-2015,53518.0,0,H,H
754,St Kilda,Richmond,73.0,89.0,Docklands,2015,Round 16,Sun,19-Jul-2015,45722.0,0,H,A
755,Carlton,Hawthorn,35.0,173.0,Docklands,2015,Round 17,Fri,24-Jul-2015,26815.0,0,H,A
756,Greater Western Sydney,Geelong,42.0,69.0,Manuka Oval,2015,Round 17,Sat,25-Jul-2015,14667.0,0,H,A
757,Adelaide,Gold Coast,125.0,80.0,Adelaide Oval,2015,Round 17,Sat,25-Jul-2015,41715.0,1,H,A
758,Richmond,Fremantle,78.0,82.0,M.C.G.,2015,Round 17,Sat,25-Jul-2015,39777.0,0,H,A
759,Essendon,Port Adelaide,116.0,129.0,Docklands,2015,Round 17,Sat,25-Jul-2015,23705.0,0,H,A
760,Brisbane Lions,North Melbourne,38.0,110.0,Gabba,2015,Round 17,Sat,25-Jul-2015,15563.0,0,H,A
761,Western Bulldogs,Collingwood,104.0,86.0,Docklands,2015,Round 17,Sun,26-Jul-2015,40581.0,1,H,A
762,Melbourne,St Kilda,46.0,83.0,M.C.G.,2015,Round 17,Sun,26-Jul-2015,22945.0,0,H,A
763,West Coast,Sydney,103.0,51.0,Subiaco,2015,Round 17,Sun,26-Jul-2015,38760.0,1,H,A
764,Hawthorn,Richmond,53.0,71.0,M.C.G.,2015,Round 18,Fri,31-Jul-2015,66305.0,0,H,H
765,Geelong,Brisbane Lions,113.0,57.0,Kardinia Park,2015,Round 18,Sat,01-Aug-2015,21913.0,1,H,A
766,Collingwood,Melbourne,54.0,91.0,M.C.G.,2015,Round 18,Sat,01-Aug-2015,37894.0,0,H,H
767,Sydney,Adelaide,117.0,65.0,S.C.G.,2015,Round 18,Sat,01-Aug-2015,38690.0,1,H,A
768,Carlton,North Melbourne,54.0,118.0,Docklands,2015,Round 18,Sat,01-Aug-2015,25251.0,0,H,H
769,Gold Coast,West Coast,83.0,83.0,Carrara,2015,Round 18,Sat,01-Aug-2015,9341.0,0,H,A
770,Port Adelaide,St Kilda,112.0,49.0,Adelaide Oval,2015,Round 18,Sun,02-Aug-2015,35977.0,1,H,A
771,Essendon,Western Bulldogs,40.0,127.0,Docklands,2015,Round 18,Sun,02-Aug-2015,33466.0,0,H,H
772,Fremantle,Greater Western Sydney,84.0,63.0,Subiaco,2015,Round 18,Sun,02-Aug-2015,34625.0,1,H,A
773,Adelaide,Richmond,88.0,52.0,Adelaide Oval,2015,Round 19,Fri,07-Aug-2015,49116.0,1,H,A
774,Collingwood,Carlton,105.0,87.0,M.C.G.,2015,Round 19,Sat,08-Aug-2015,48133.0,1,H,H
775,Western Bulldogs,Port Adelaide,128.0,64.0,Docklands,2015,Round 19,Sat,08-Aug-2015,20590.0,1,H,A
776,Brisbane Lions,Gold Coast,100.0,114.0,Gabba,2015,Round 19,Sat,08-Aug-2015,19920.0,0,H,A
777,Geelong,Sydney,95.0,63.0,Kardinia Park,2015,Round 19,Sat,08-Aug-2015,27910.0,1,H,A
778,West Coast,Hawthorn,74.0,88.0,Subiaco,2015,Round 19,Sat,08-Aug-2015,34843.0,0,H,A
779,Melbourne,North Melbourne,92.0,127.0,M.C.G.,2015,Round 19,Sun,09-Aug-2015,30695.0,0,H,A
780,Greater Western Sydney,Essendon,93.0,61.0,Sydney Showground,2015,Round 19,Sun,09-Aug-2015,10093.0,1,H,A
781,St Kilda,Fremantle,59.0,96.0,Docklands,2015,Round 19,Sun,09-Aug-2015,16409.0,0,H,A
782,Sydney,Collingwood,87.0,76.0,S.C.G.,2015,Round 20,Fri,14-Aug-2015,38408.0,1,H,A
783,Essendon,Adelaide,59.0,171.0,Docklands,2015,Round 20,Sat,15-Aug-2015,25914.0,0,H,A
784,North Melbourne,St Kilda,120.0,83.0,Bellerive Oval,2015,Round 20,Sat,15-Aug-2015,14346.0,1,H,A
785,Port Adelaide,Greater Western Sydney,111.0,90.0,Adelaide Oval,2015,Round 20,Sat,15-Aug-2015,32436.0,1,H,A
786,Brisbane Lions,Carlton,131.0,67.0,Gabba,2015,Round 20,Sat,15-Aug-2015,17744.0,1,H,A
787,Geelong,Hawthorn,85.0,121.0,M.C.G.,2015,Round 20,Sat,15-Aug-2015,55802.0,0,A,H
788,Richmond,Gold Coast,138.0,55.0,M.C.G.,2015,Round 20,Sun,16-Aug-2015,38508.0,1,H,A
789,Western Bulldogs,Melbourne,153.0,55.0,Docklands,2015,Round 20,Sun,16-Aug-2015,27805.0,1,H,A
790,Fremantle,West Coast,80.0,104.0,Subiaco,2015,Round 20,Sun,16-Aug-2015,41959.0,0,H,H
791,Hawthorn,Port Adelaide,86.0,108.0,Docklands,2015,Round 21,Fri,21-Aug-2015,28657.0,0,A,A
792,Collingwood,Richmond,56.0,147.0,M.C.G.,2015,Round 21,Sat,22-Aug-2015,63178.0,0,H,H
793,Greater Western Sydney,Sydney,44.0,133.0,Sydney Showground,2015,Round 21,Sat,22-Aug-2015,19507.0,0,H,A
794,Gold Coast,Essendon,97.0,95.0,Carrara,2015,Round 21,Sat,22-Aug-2015,16253.0,1,H,A
795,St Kilda,Geelong,97.0,97.0,Docklands,2015,Round 21,Sat,22-Aug-2015,25245.0,0,H,A
796,Adelaide,Brisbane Lions,131.0,44.0,Adelaide Oval,2015,Round 21,Sat,22-Aug-2015,46609.0,1,H,A
797,North Melbourne,Fremantle,94.0,83.0,Docklands,2015,Round 21,Sun,23-Aug-2015,23857.0,1,H,A
798,Carlton,Melbourne,78.0,55.0,M.C.G.,2015,Round 21,Sun,23-Aug-2015,33962.0,1,H,H
799,West Coast,Western Bulldogs,162.0,85.0,Subiaco,2015,Round 21,Sun,23-Aug-2015,37733.0,1,H,A
800,Geelong,Collingwood,62.0,110.0,M.C.G.,2015,Round 22,Fri,28-Aug-2015,40582.0,0,A,H
801,Greater Western Sydney,Carlton,132.0,51.0,Sydney Showground,2015,Round 22,Sat,29-Aug-2015,9538.0,1,H,A
802,Hawthorn,Brisbane Lions,134.0,62.0,York Park,2015,Round 22,Sat,29-Aug-2015,11731.0,1,H,A
803,North Melbourne,Western Bulldogs,73.0,96.0,Docklands,2015,Round 22,Sat,29-Aug-2015,37299.0,0,H,H
804,Essendon,Richmond,47.0,74.0,M.C.G.,2015,Round 22,Sat,29-Aug-2015,37864.0,0,H,H
805,Gold Coast,Port Adelaide,51.0,88.0,Carrara,2015,Round 22,Sat,29-Aug-2015,9343.0,0,H,A
806,Adelaide,West Coast,126.0,69.0,Adelaide Oval,2015,Round 22,Sun,30-Aug-2015,52460.0,1,H,A
807,St Kilda,Sydney,38.0,135.0,Docklands,2015,Round 22,Sun,30-Aug-2015,27856.0,0,H,A
808,Fremantle,Melbourne,108.0,54.0,Subiaco,2015,Round 22,Sun,30-Aug-2015,33529.0,1,H,A
809,Richmond,North Melbourne,108.0,67.0,Docklands,2015,Round 23,Fri,04-Sep-2015,40461.0,1,A,H
810,Geelong,Adelaide,119.0,80.0,Kardinia Park,2015,Round 23,Sat,05-Sep-2015,26128.0,1,H,A
811,Brisbane Lions,Western Bulldogs,130.0,122.0,Gabba,2015,Round 23,Sat,05-Sep-2015,15434.0,1,H,A
812,Port Adelaide,Fremantle,122.0,53.0,Adelaide Oval,2015,Round 23,Sat,05-Sep-2015,37922.0,1,H,A
813,Hawthorn,Carlton,113.0,56.0,M.C.G.,2015,Round 23,Sat,05-Sep-2015,33182.0,1,H,H
814,Sydney,Gold Coast,127.0,64.0,S.C.G.,2015,Round 23,Sat,05-Sep-2015,25424.0,1,H,A
815,West Coast,St Kilda,125.0,30.0,Subiaco,2015,Round 23,Sat,05-Sep-2015,36165.0,1,H,A
816,Melbourne,Greater Western Sydney,103.0,77.0,Docklands,2015,Round 23,Sun,06-Sep-2015,8974.0,1,A,A
817,Collingwood,Essendon,92.0,95.0,M.C.G.,2015,Round 23,Sun,06-Sep-2015,40270.0,0,H,H
818,West Coast,Hawthorn,96.0,64.0,Subiaco,2015,Qualifying Final,Fri,11-Sep-2015,42663.0,1,H,A
819,Fremantle,Sydney,69.0,60.0,Subiaco,2015,Qualifying Final,Sat,12-Sep-2015,40071.0,1,H,A
820,Western Bulldogs,Adelaide,102.0,109.0,M.C.G.,2015,Elimination Final,Sat,12-Sep-2015,60872.0,0,A,A
821,Richmond,North Melbourne,88.0,105.0,M.C.G.,2015,Elimination Final,Sun,13-Sep-2015,90186.0,0,H,A
822,Hawthorn,Adelaide,135.0,61.0,M.C.G.,2015,Semi Final,Fri,18-Sep-2015,70879.0,1,H,A
823,Sydney,North Melbourne,51.0,77.0,Stadium Australia,2015,Semi Final,Sat,19-Sep-2015,31162.0,0,H,A
824,Fremantle,Hawthorn,67.0,94.0,Subiaco,2015,Preliminary Final,Fri,25-Sep-2015,41508.0,0,H,A
825,West Coast,North Melbourne,80.0,55.0,Subiaco,2015,Preliminary Final,Sat,26-Sep-2015,43080.0,1,H,A
826,West Coast,Hawthorn,61.0,107.0,M.C.G.,2015,Grand Final,Sat,03-Oct-2015,98632.0,0,A,H
827,Richmond,Carlton,92.0,83.0,M.C.G.,2016,Round 1,Thu,24-Mar-2016,75706.0,1,H,H
828,Melbourne,Greater Western Sydney,80.0,78.0,M.C.G.,2016,Round 1,Sat,26-Mar-2016,28505.0,1,H,A
829,Gold Coast,Essendon,121.0,60.0,Carrara,2016,Round 1,Sat,26-Mar-2016,16239.0,1,H,A
830,North Melbourne,Adelaide,107.0,97.0,Docklands,2016,Round 1,Sat,26-Mar-2016,25485.0,1,H,A
831,Sydney,Collingwood,133.0,53.0,S.C.G.,2016,Round 1,Sat,26-Mar-2016,33857.0,1,H,A
832,Western Bulldogs,Fremantle,103.0,38.0,Docklands,2016,Round 1,Sun,27-Mar-2016,27832.0,1,H,A
833,Port Adelaide,St Kilda,133.0,100.0,Adelaide Oval,2016,Round 1,Sun,27-Mar-2016,42896.0,1,H,A
834,West Coast,Brisbane Lions,166.0,102.0,Subiaco,2016,Round 1,Sun,27-Mar-2016,35201.0,1,H,A
835,Geelong,Hawthorn,116.0,86.0,M.C.G.,2016,Round 1,Mon,28-Mar-2016,74218.0,1,A,H
836,Collingwood,Richmond,87.0,86.0,M.C.G.,2016,Round 2,Fri,01-Apr-2016,72761.0,1,H,H
837,Adelaide,Port Adelaide,144.0,86.0,Adelaide Oval,2016,Round 2,Sat,02-Apr-2016,50555.0,1,H,H
838,Essendon,Melbourne,80.0,67.0,M.C.G.,2016,Round 2,Sat,02-Apr-2016,50424.0,1,H,H
839,Brisbane Lions,North Melbourne,83.0,117.0,Gabba,2016,Round 2,Sat,02-Apr-2016,18021.0,0,H,A
840,St Kilda,Western Bulldogs,36.0,93.0,Docklands,2016,Round 2,Sat,02-Apr-2016,37353.0,0,H,H
841,Fremantle,Gold Coast,100.0,126.0,Subiaco,2016,Round 2,Sat,02-Apr-2016,34208.0,0,H,A
842,Greater Western Sydney,Geelong,89.0,76.0,Manuka Oval,2016,Round 2,Sun,03-Apr-2016,13656.0,1,H,A
843,Hawthorn,West Coast,99.0,53.0,M.C.G.,2016,Round 2,Sun,03-Apr-2016,42977.0,1,H,A
844,Carlton,Sydney,71.0,131.0,Docklands,2016,Round 2,Sun,03-Apr-2016,33146.0,0,H,A
845,Port Adelaide,Essendon,112.0,51.0,Adelaide Oval,2016,Round 3,Fri,08-Apr-2016,43663.0,1,H,A
846,St Kilda,Collingwood,119.0,90.0,M.C.G.,2016,Round 3,Sat,09-Apr-2016,50903.0,1,A,H
847,Richmond,Adelaide,92.0,128.0,Docklands,2016,Round 3,Sat,09-Apr-2016,29951.0,0,A,A
848,Sydney,Greater Western Sydney,93.0,68.0,S.C.G.,2016,Round 3,Sat,09-Apr-2016,37045.0,1,H,A
849,Gold Coast,Carlton,95.0,41.0,Carrara,2016,Round 3,Sat,09-Apr-2016,13885.0,1,H,A
850,West Coast,Fremantle,92.0,59.0,Subiaco,2016,Round 3,Sat,09-Apr-2016,40555.0,1,H,H
851,North Melbourne,Melbourne,136.0,131.0,Bellerive Oval,2016,Round 3,Sun,10-Apr-2016,12607.0,1,H,A
852,Western Bulldogs,Hawthorn,90.0,93.0,Docklands,2016,Round 3,Sun,10-Apr-2016,46808.0,0,H,A
853,Geelong,Brisbane Lions,125.0,56.0,Kardinia Park,2016,Round 3,Sun,10-Apr-2016,23320.0,1,H,A
854,West Coast,Richmond,125.0,57.0,Subiaco,2016,Round 4,Fri,15-Apr-2016,38860.0,1,H,A
855,Essendon,Geelong,42.0,72.0,M.C.G.,2016,Round 4,Sat,16-Apr-2016,42723.0,0,H,A
856,Hawthorn,St Kilda,87.0,84.0,York Park,2016,Round 4,Sat,16-Apr-2016,17052.0,1,H,A
857,Brisbane Lions,Gold Coast,107.0,94.0,Gabba,2016,Round 4,Sat,16-Apr-2016,20041.0,1,H,A
858,Carlton,Western Bulldogs,49.0,85.0,Docklands,2016,Round 4,Sat,16-Apr-2016,27622.0,0,H,H
859,Adelaide,Sydney,113.0,103.0,Adelaide Oval,2016,Round 4,Sat,16-Apr-2016,50369.0,1,H,A
860,Greater Western Sydney,Port Adelaide,151.0,65.0,Manuka Oval,2016,Round 4,Sun,17-Apr-2016,10028.0,1,H,A
861,Collingwood,Melbourne,67.0,102.0,M.C.G.,2016,Round 4,Sun,17-Apr-2016,47558.0,0,H,H
862,North Melbourne,Fremantle,132.0,101.0,Docklands,2016,Round 4,Sun,17-Apr-2016,23393.0,1,H,A
