,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
29,24,David Cuningham,FWD,1,2,0,33.3,3,4,1,2024,Opening Round
30,24,Nick Daicos,MID,1,1,0,33.3,3,6,2,2024,Opening Round
31,24,Joe Daniher,KEYF,1,2,1,33.3,3,8,0,2024,Opening Round
32,24,Oliver Florent,DEF,1,0,0,100,1,1,0,2024,Opening Round
33,24,Lachie Fogarty,FWD,1,0,2,100,1,5,2,2024,Opening Round
34,24,Robbie Fox,KEYF,1,1,0,33.3,3,2,0,2024,Opening Round
35,24,Tom Green,MID,1,0,0,50,2,9,3,2024,Opening Round
36,24,Toby Greene,FWD,1,0,4,100,1,7,0,2024,Opening Round
37,24,Isaac Heeney,MID,1,1,1,50,2,12,3,2024,Opening Round
38,24,Eric Hipwood,KEYF,1,2,0,25,4,4,0,2024,Opening Round
39,24,Nick Holman,FWD,1,1,1,33.3,3,7,0,2024,Opening Round
40,24,Josh Kelly,MID,1,0,1,100,1,10,1,2024,Opening Round
41,24,Matthew Kennedy,FWD,1,0,0,100,1,2,1,2024,Opening Round
42,24,Ed Langdon,MID,1,0,0,100,1,2,0,2024,Opening Round
43,24,Brayden Maynard,DEF,1,0,0,100,1,4,2,2024,Opening Round
44,24,Hugh McCluggage,MID,1,0,0,100,1,4,1,2024,Opening Round
45,24,Beau McCreery,FWD,1,1,0,33.3,3,3,1,2024,Opening Round
46,24,Logan McDonald,KEYF,1,0,0,50,2,5,1,2024,Opening Round
47,24,Justin McInerney,FWD,1,0,0,100,1,3,1,2024,Opening Round
48,24,Tom Mitchell,MID,1,0,0,100,1,2,0,2024,Opening Round
49,24,Tom Papley,FWD,1,1,0,25,4,9,1,2024,Opening Round
50,24,Christian Petracca,MID,1,2,1,25,4,8,3,2024,Opening Round
51,24,Marlion Pickett,FWD,1,0,0,100,1,3,1,2024,Opening Round
52,24,Cam Rayner,FWD,1,0,0,50,2,5,2,2024,Opening Round
53,24,Chad Warner,MID,1,1,2,50,2,8,2,2024,Opening Round
54,24,Sam Wicks,FWD,1,0,0,100,1,3,0,2024,Opening Round
55,24,Jacob van Rooyen,KEYF,1,0,0,100,1,1,0,2024,Opening Round
56,57,Blake Acres,MID,0,0,1,0,1,7,2,2024,Opening Round
57,57,Ben Ainsworth,FWD,0,1,2,0,3,5,0,2024,Opening Round
58,57,Joel Amartey,KEYF,0,1,0,0,1,1,0,2024,Opening Round
59,57,Noah Anderson,MID,0,1,1,0,1,7,2,2024,Opening Round
60,57,Harris Andrews,KEYD,0,0,0,0,0,2,1,2024,Opening Round
61,57,Lachie Ash,DEF,0,0,0,0,0,4,1,2024,Opening Round
62,57,Liam Baker,FWD,0,0,0,0,0,2,1,2024,Opening Round
63,57,Charlie Ballard,KEYD,0,0,0,0,0,2,1,2024,Opening Round
64,57,Sam Banks,MID,0,0,0,0,0,0,0,2024,Opening Round
65,57,Toby Bedford,FWD,0,0,0,0,1,3,1,2024,Opening Round
66,57,Jarrod Berry,DEF,0,0,0,0,0,4,3,2024,Opening Round
67,57,Thomas Berry,FWD,0,1,1,0,1,4,0,2024,Opening Round
68,57,Jack Billings,FWD,0,0,0,0,0,1,0,2024,Opening Round
69,57,Nick Blakey,DEF,0,0,2,0,0,4,1,2024,Opening Round
70,57,Jake Bowey,DEF,0,0,0,0,0,0,0,2024,Opening Round
71,57,Jordan Boyd,DEF,0,0,0,0,0,2,0,2024,Opening Round
72,57,Kieren Briggs,RUC,0,0,0,0,0,5,3,2024,Opening Round
73,57,Nathan Broad,DEF,0,1,0,0,1,1,1,2024,Opening Round
74,57,Jack Buckley,KEYD,0,0,0,0,0,1,0,2024,Opening Round
75,57,Connor Budarick,DEF,0,0,0,0,0,1,0,2024,Opening Round
76,57,Braeden Campbell,MID,0,0,0,0,0,2,0,2024,Opening Round
77,57,Levi Casboult,KEYF,0,0,1,0,0,2,0,2024,Opening Round
78,57,Adam Cerra,MID,0,0,1,0,0,4,0,2024,Opening Round
79,57,Kade Chandler,FWD,0,0,0,0,1,2,0,2024,Opening Round
80,57,Keidean Coleman,DEF,0,0,2,0,0,4,2,2024,Opening Round
81,57,Sam Collins,KEYD,0,0,0,0,0,2,0,2024,Opening Round
82,57,Stephen Coniglio,MID,0,0,4,0,0,6,1,2024,Opening Round
83,57,Mason Cox,RUC,0,0,0,0,0,2,2,2024,Opening Round
84,57,Jack Crisp,DEF,0,1,1,0,1,6,3,2024,Opening Round
85,57,Harry Cunningham,DEF,0,0,0,0,1,0,0,2024,Opening Round
86,57,Josh Daicos,MID,0,0,0,0,0,8,1,2024,Opening Round
87,57,Jordan De Goey,MID,0,0,0,0,1,4,0,2024,Opening Round
88,57,Tom De Koning,RUC,0,0,0,0,1,3,2,2024,Opening Round
89,57,Charlie Dean,KEYD,0,0,0,0,0,2,0,2024,Opening Round
90,57,Sam Docherty,MID,0,0,0,0,0,2,1,2024,Opening Round
91,57,Thomson Dow,MID,0,0,0,0,0,2,1,2024,Opening Round
92,57,Josh Dunkley,MID,0,0,0,0,0,4,1,2024,Opening Round
93,57,Jamie Elliott,FWD,0,2,0,0,2,6,2,2024,Opening Round
94,57,Brandon Ellis,MID,0,0,0,0,1,3,0,2024,Opening Round
95,57,Orazio Fantasia,FWD,0,0,2,0,0,3,1,2024,Opening Round
96,57,Sam Flanders,MID,0,0,1,0,0,5,2,2024,Opening Round
97,57,Jaspa Fletcher,MID,0,0,0,0,0,2,0,2024,Opening Round
98,57,Darcy Gardiner,KEYF,0,0,1,0,0,8,1,2024,Opening Round
99,57,Max Gawn,RUC,0,1,0,0,2,3,3,2024,Opening Round
100,57,Josh Gibcus,KEYD,0,0,0,0,0,1,1,2024,Opening Round
101,57,Dylan Grimes,DEF,0,0,0,0,0,0,0,2024,Opening Round
102,57,Brodie Grundy,RUC,0,0,0,0,0,7,7,2024,Opening Round
103,57,Errol Gulden,MID,0,1,0,0,1,4,1,2024,Opening Round
104,57,Nick Haynes,DEF,0,0,0,0,0,6,3,2024,Opening Round
105,57,George Hewett,MID,0,0,0,0,0,5,1,2024,Opening Round
106,57,Harry Himmelberg,KEYD,0,0,0,0,0,4,3,2024,Opening Round
107,57,Oliver Hollands,MID,0,0,0,0,0,0,0,2024,Opening Round
108,57,Will Hoskin-Elliott,DEF,0,1,1,0,1,4,1,2024,Opening Round
109,57,Blake Howes,DEF,0,0,0,0,0,0,0,2024,Opening Round
110,57,Bailey Humphrey,FWD,0,0,0,0,0,6,0,2024,Opening Round
111,57,Connor Idun,DEF,0,0,0,0,0,2,1,2024,Opening Round
112,57,Ash Johnson,KEYF,0,0,0,0,0,1,0,2024,Opening Round
113,57,James Jordon,FWD,0,0,0,0,0,3,0,2024,Opening Round
114,57,Brodie Kemp,KEYD,0,0,0,0,0,1,1,2024,Opening Round
115,57,Jacob Koschitzke,KEYF,0,0,0,0,1,0,0,2024,Opening Round
116,57,Bailey Laurie,FWD,0,0,0,0,0,1,0,2024,Opening Round
117,57,Ryan Lester,KEYD,0,0,0,0,0,2,2,2024,Opening Round
118,57,Jake Lever,KEYD,0,0,0,0,0,2,1,2024,Opening Round
119,57,Patrick Lipinski,FWD,0,2,0,0,2,5,1,2024,Opening Round
120,57,Jake Lloyd,MID,0,0,0,0,0,1,0,2024,Opening Round
121,57,Kai Lohmann,FWD,0,0,0,0,0,3,0,2024,Opening Round
122,57,Jarryd Lyons,MID,0,0,1,0,0,6,1,2024,Opening Round
123,57,Darcy Macpherson,MID,0,0,0,0,0,1,0,2024,Opening Round
124,57,Oleg Markov,DEF,0,0,0,0,0,2,0,2024,Opening Round
125,57,Steven May,KEYD,0,0,0,0,0,1,0,2024,Opening Round
126,57,Tom McCartin,KEYD,0,0,0,0,0,1,1,2024,Opening Round
127,57,Mitch McGovern,DEF,0,1,0,0,1,6,4,2024,Opening Round
128,57,Oscar McInerney,RUC,0,0,0,0,0,3,3,2024,Opening Round
129,57,Kamdyn McIntosh,MID,0,0,0,0,0,0,0,2024,Opening Round
130,57,Toby McMullin,MID,0,0,0,0,0,1,0,2024,Opening Round
131,57,Judd McVee,DEF,0,0,1,0,0,3,1,2024,Opening Round
132,57,Lewis Melican,KEYD,0,0,0,0,0,2,2,2024,Opening Round
133,57,Touk Miller,MID,0,1,1,0,1,8,2,2024,Opening Round
134,57,Darcy Moore,KEYD,0,0,0,0,0,4,3,2024,Opening Round
135,57,Sam Naismith,RUC,0,0,0,0,0,1,1,2024,Opening Round
136,57,Alex Neal-Bullen,FWD,0,1,0,0,1,1,1,2024,Opening Round
137,57,Lachie Neale,MID,0,0,1,0,0,6,3,2024,Opening Round
138,57,Nic Newman,DEF,0,0,1,0,0,3,1,2024,Opening Round
139,57,John Noble,DEF,0,0,0,0,0,2,1,2024,Opening Round
140,57,Xavier O'Halloran,MID,0,0,2,0,0,2,0,2024,Opening Round
141,57,Clayton Oliver,MID,0,0,1,0,0,5,1,2024,Opening Round
142,57,Matthew Owies,FWD,0,0,0,0,0,5,1,2024,Opening Round
143,57,Jack Payne,KEYD,0,0,0,0,0,0,0,2024,Opening Round
144,57,Scott Pendlebury,MID,0,0,2,0,0,5,2,2024,Opening Round
145,57,Wil Powell,DEF,0,0,0,0,0,6,3,2024,Opening Round
146,57,Dion Prestia,FWD,0,1,1,0,1,6,1,2024,Opening Round
